Location,Model Name,PRICE,HEIGHT,MONTH,YEAR
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 1.5L,1065,12,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 2.0L TALL BODY,1125,13,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 2.0L,1145,14,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 3.0L,1350,15,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR ALUMINIUM PRESSURE COOKER 4L,1550,12,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 5.0L ALUMINIUM,1850,13,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 5.5L ALUMINIUM,2000,14,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 6.0L ALUMINIUM,2075,15,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 6.5L ALUMINIUM,2225,12,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 7.5L ALUMINIUM,2550,13,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 8.5L ALUMINIUM,2775,14,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 10L ALUMINIUM,2990,15,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 12L ALUMINIUM,3250,12,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR SENIOR DEEP PRESSURE PAN 6.0L ALUMINIUM,2290,13,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR JUNIOR DEEP PRESSURE PAN 4.1L,1850,14,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR JUNIOR DEEP PRESSURE PAN 4.1L ALUMINIUM,1850,15,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 1.5L,1125,12,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L TALL BODY,1175,13,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L,1250,14,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 3.0L,1450,15,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 4.0L,1650,12,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.0L,1925,13,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.5L,2100,14,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.0L,2150,15,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.5L,2325,12,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 7.5L,2650,13,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 8.5L,2875,14,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 10L,3095,15,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 12L,3350,12,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS SENIOR DEEP PRESSURE PAN 6.0L ALUMINIUM,2290,13,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS PRESSURE COOKER 3L,1650,14,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS PRESSURE COOKER 5L,2225,15,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS PRESSURE COOKER 7L,2625,12,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 7.5L (POLISHED),2790,13,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 10L (POLISHED),3275,14,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 12L (POLISHED),3575,15,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS  SENIOR DEEP PRESSURE PAN 6L ALUMINIUM (POLISHED),2290,12,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS ALUMINIUM SENIOR DEEP PRESSURE PAN 6L (POLISHED),2525,13,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE PRO ALUMINIUM PRESSURE COOKER 5.0L,1650,14,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE PRO ALUMINIUM JUNIOR DEEP PRESSURE PAN 3.5L,2225,15,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE ALPHA STAINLESS STEEL PRESSURE COOKER 6.5L,3410,12,DECEMBER,2018
HOSUR UNIT1 main line,PRESTIGE DELUXE ALPHA STAINLESS STEEL PRESSURE COOKER 2L,2150,13,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR 1.5LTR POPULAR,1065,14,JULY,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 2.0L TALL BODY,1125,15,AUGUST,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 2L,1145,12,SEPTEMBER,2019
Coimbatore assembly line 1,PRESTIGE POPULAR ALUMINIUM PRESSURE COOKER 3L,1350,13,OCTOBER,2019
Coimbatore assembly line 1,PRESTIGE POPULAR ALUMINIUM PRESSURE COOKER 4L,1550,14,NOVEMBER,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 5.0L,1850,15,DECEMBER,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 5.5L,2000,12,JANUARY,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 6.0L,2075,13,DECEMBER,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 6.5L,2225,14,DECEMBER,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 7.5L,2550,15,DECEMBER,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 8.5L,2775,12,DECEMBER,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 10L,2990,13,DECEMBER,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 12L,3250,14,DECEMBER,2019
Coimbatore assembly line 1,PRESTIGE POPULAR SENIOR DEEP PRESSURE PAN 6.0L,2290,15,DECEMBER,2019
Coimbatore assembly line 1,PRESTIGE POPULAR STAINLESS STEEL PRESSURE COOKER 2L,1725,12,MARCH,2019
Coimbatore assembly line 1,PRESTIGE POPULAR STAINLESS STEEL PRESSURE COOKER 3L,1975,13,APRIL,2019
Coimbatore assembly line 1,PRESTIGE POPULAR STAINLESS STEEL PRESSURE COOKER 5L,2595,14,APRIL,2019
Coimbatore assembly line 1,PRESTIGE POPULAR JDPP,1850,15,JULY,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 1.5L,1125,12,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L TALL BODY,1175,13,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L,1250,14,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 3.0L,1450,15,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 4.0L,1650,12,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.0L,1925,13,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.5L,2100,14,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.0L,2150,15,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.5L,2325,12,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 7.5L,2650,13,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 8.5L,2875,14,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 10L,3095,15,DECEMBER,2018
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 12L,3350,12,APRIL,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE  COOKER 7.5L,3775,13,APRIL,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS DVP 10+3LTR,4545,14,MAY,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS 2+3LTR POP+DVP,2140,15,JULY,2019
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS 5LTR STARTER PACK,1925,12,AUGUST,2019
Coimbatore assembly line 1,PRESTIGE NAKSHATRA CUTE DUO SILKY RED PRESSURE COOKER 5L (POWDER COATED),2460,13,AUGUST,2019
Coimbatore assembly line 1,PRESTIGE NAKSHATRA CUTE DUO SILKY RED PRESSURE COOKER 3L (POWDER COATED),1880,14,AUGUST,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS PRESSURE HANDI 3.3L (ALUMINIUM POWDER COATED),1900,15,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE HANDI 4.8L (ALUMINIUM HARD ANODISED),2930,12,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE COOKER 3L (ALUMINIUM HARD ANODISED),2265,13,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE HANDI 2L (HARD ANODISED),2110,14,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE HANDI 2L (ALUMINIUM POWDER COATED),1750,15,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS PRESSURE HANDI 3.3L (ALUMINIUM HARD ANODISED),2390,12,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE COOKER 5L (ALUMINIUM HARD ANODISED),3120,13,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 5L (POLISHED),2225,14,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS INDUCTION BASE PRESSURE PAN 3.1L (ALUMINIUM HARD ANODISED),3070,15,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS ALUMINIUM JUNIOR PRESSURE HANDI 4.8L (POLISHED),2290,12,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 6L (POLISHED),1000,13,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE  COOKER 12L (POLISHED) ,3350,14,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE PLUS PRESSURE COOKER 7.5L (HARD ANODISED),3775,15,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE DUO PLUS HARD ANODISED PRESSURE HANDI WITH STAINLESS STEEL LID 2L 01U AND GLASS LID 01U,2200,12,APRIL,2019
Coimbatore assembly line 1,PRESTIGE DELUXE DUO PLUS 3.3LTR DUO PLUS (HARD ANODISED),2520,13,MAY,2019
Coimbatore assembly line 1,PRESTIGE DELUXE DUO PLUS 1.5L  DUO PLUS {HARD ANODISED),2020,14,MAY,2019
Coimbatore assembly line 1,JUDGE ALUMINIUM PRESSURE COOKER 3L,1099,15,APRIL,2019
Coimbatore assembly line 1,JUDGE BASIC 5LTR,1399,12,MAY,2019
Coimbatore assembly line 1,JUDGE DELUXE 3LTR,1139,13,MAY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 1.5L,1065,14,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 2.0L TALL BODY,1125,15,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 2.0L,1145,12,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR ALUMINIUM PRESSURE COOKER 3L,1350,13,APRIL,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 4L,1550,14,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 5.0L,1850,15,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 5.5L,2000,12,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 6.0L,2075,13,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 6.5L,2225,14,APRIL,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 7.5L,2550,15,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 8.5L,2775,12,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 10L,2990,13,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 12L,3250,14,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR SENIOR DEEP PRESSURE PAN 6.0L,2290,15,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR STAINLESS STEEL PRESSURE COOKER 2L,1725,12,MARCH,2019
Coimbatore assembly line 2,PRESTIGE POPULAR DVP 7.5+3LTR PRESSURE COOKER,3900,13,MAY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR DVP 12+3LTR PRESSURE COOKER,4600,14,MAY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR JUNIOR DEEP PRESSURE PAN,1850,15,JULY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR 3+2 COMBI,1350,12,JULY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR 5+3+2 COMBI,3799,13,JULY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 1.5L,1125,14,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L TALL BODY,1175,15,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L,1250,12,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 3.0L,1450,13,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 4.0L,1650,14,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.0L,1925,15,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.5L,2100,12,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.0L,2150,13,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.5L,2325,14,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 7.5L,2650,15,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 8.5L,2875,12,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 10L,3095,13,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 12L,3350,14,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS DVP 7.5+3LTR,4100,15,MAY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS DVP 12+3LTR,4800,12,MAY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS SPECIAL VALUE 3L+2L BODY,2140,13,JULY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS STARTER PACK  3 + 250MM TAWA,1450,14,JULY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS STARTER PACK  5 + 280MM TAWA,1925,15,JULY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS 5+3+2 COMBI,3999,12,JULY,2019
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS PRESSURE HANDI 3.3L (ALUMINIUM POWDER COATED),1900,13,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 3L (POLISHED),1650,14,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 5L (POLISHED),2225,15,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINUM PRESSURE COOKER 2L (POLISHED) POPULAR,1145,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE PAN (POLISHED ),2160,13,JUNE,2019
Coimbatore assembly line 2,PRESTIGE DELUXE DUO PLUS HARD ANODISED PRESSURE HANDI WITH STAINLESS STEEL LID 2L 01U AND GLASS LID 01U,2200,14,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL KADAI 240MM (2.8L),1460,15,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL SAUCE PAN 180MM WITH LID (2L),1120,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL CASSROLE  200MM WITH LID (3L),1260,13,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL KADAI 260MM (3.7L),1550,14,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL KADAI 220MM (2.1L),1350,15,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL FRY PAN 220MM (1.7L),990,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL FRY PAN 240MM (2.1L),1120,13,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL FRY PAN 260MM (2.9L),1250,14,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL CASSROLE  180MM WITH LID (2L),1070,15,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL SAUCE PAN 200MM WITH LID (3L),1330,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA STAINLESS STEEL BABY HANDI 2L,2010,13,FEBRUARY,2019
Coimbatore assembly line 2,SOME PRODUCT,2310,14,APRIL,2019
Coimbatore assembly line 2,SOME PRODUCT 1,1220,15,APRIL,2019
Coimbatore assembly line 2,SOME PRODUCT 2,1120,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE STAINLESS STEEL SPECIAL VALUE PACK CONSISTING OF POPULAR STAINLESS STEEL PRESSURE COOKER 5L - 1U POPULAR STAINLESS STEEL PRESSURE COOKER 2L - 1U (TO BE SOLD AS A COMPLETE PACK ONLY AND NOT TO BE SOLD SEPARATELY),2995,12,FEBRUARY,2020
Coimbatore assembly line 2,SOME PRODUCT 3,2750,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA SVACHH STAINLESS STEEL PRESSURE COOKER 2L,2180,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA SVACHH STAINLESS STEEL PRESSURE COOKER 3L,2420,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA SVACHH STAINLESS PRESSURE COOKER 3L,2760,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA SVACHH STAINLESS PRESSURE COOKER 4L,2790,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE IRIS STAINLESS STEEL COOKWARE BUILD DIA WITH GLASS LID-1U FRY PAN 220MM DIA,3495,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.0L,1925,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 2L,1145,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE SVACHH 7.5 SAVACHH HA,3500,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE SVACHH SR PAN HA,3100,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA SVACHH STAINLESS STEEL PRESSURE COOKER 5.5L,3110,12,APRIL,2020